ball	function	reason
W11	IO_L1N_T0L_N1_DBC_67	not used in minimal system; no external interface
W12	IO_L1P_T0L_N0_DBC_67	not used in minimal system; no external interface
R13	IO_L2N_T0L_N3_67	not used in minimal system; no external interface
T13	IO_L2P_T0L_N2_67	not used in minimal system; no external interface
T10	IO_L3N_T0L_N5_AD15N_67	not used in minimal system; no external interface
U10	IO_L3P_T0L_N4_AD15P_67	not used in minimal system; no external interface
R12	IO_L4N_T0U_N7_DBC_AD7N_67	not used in minimal system; no external interface
T12	IO_L4P_T0U_N6_DBC_AD7P_67	not used in minimal system; no external interface
V11	IO_L5N_T0U_N9_AD14N_67	not used in minimal system; no external interface
V12	IO_L5P_T0U_N8_AD14P_67	not used in minimal system; no external interface
T11	IO_L6N_T0U_N11_AD6N_67	not used in minimal system; no external interface
U11	IO_L6P_T0U_N10_AD6P_67	not used in minimal system; no external interface
V7	IO_L7N_T1L_N1_QBC_AD13N_67	not used in minimal system; no external interface
V8	IO_L7P_T1L_N0_QBC_AD13P_67	not used in minimal system; no external interface
U6	IO_L8N_T1L_N3_AD5N_67	not used in minimal system; no external interface
V6	IO_L8P_T1L_N2_AD5P_67	not used in minimal system; no external interface
U8	IO_L9N_T1L_N5_AD12N_67	not used in minimal system; no external interface
U9	IO_L9P_T1L_N4_AD12P_67	not used in minimal system; no external interface
T6	IO_L10N_T1U_N7_QBC_AD4N_67	not used in minimal system; no external interface
T7	IO_L10P_T1U_N6_QBC_AD4P_67	not used in minimal system; no external interface
R9	IO_L11N_T1U_N9_GC_67	not used in minimal system; no external interface
R10	IO_L11P_T1U_N8_GC_67	not used in minimal system; no external interface
R8	IO_L12N_T1U_N11_GC_67	not used in minimal system; no external interface
T8	IO_L12P_T1U_N10_GC_67	not used in minimal system; no external interface
N11	IO_L13N_T2L_N1_GC_QBC_67	not used in minimal system; no external interface
P11	IO_L13P_T2L_N0_GC_QBC_67	not used in minimal system; no external interface
P9	IO_L14N_T2L_N3_GC_67	not used in minimal system; no external interface
P10	IO_L14P_T2L_N2_GC_67	not used in minimal system; no external interface
L10	IO_L15N_T2L_N5_AD11N_67	not used in minimal system; no external interface
M10	IO_L15P_T2L_N4_AD11P_67	not used in minimal system; no external interface
N8	IO_L16N_T2U_N7_QBC_AD3N_67	not used in minimal system; no external interface
N9	IO_L16P_T2U_N6_QBC_AD3P_67	not used in minimal system; no external interface
L11	IO_L17N_T2U_N9_AD10N_67	not used in minimal system; no external interface
M11	IO_L17P_T2U_N8_AD10P_67	not used in minimal system; no external interface
K12	IO_L18N_T2U_N11_AD2N_67	not used in minimal system; no external interface
L12	IO_L18P_T2U_N10_AD2P_67	not used in minimal system; no external interface
K16	IO_L19N_T3L_N1_DBC_AD9N_67	not used in minimal system; no external interface
L16	IO_L19P_T3L_N0_DBC_AD9P_67	not used in minimal system; no external interface
M14	IO_L20N_T3L_N3_AD1N_67	not used in minimal system; no external interface
M15	IO_L20P_T3L_N2_AD1P_67	not used in minimal system; no external interface
N12	IO_L21N_T3L_N5_AD8N_67	not used in minimal system; no external interface
P12	IO_L21P_T3L_N4_AD8P_67	not used in minimal system; no external interface
M13	IO_L22N_T3U_N7_DBC_AD0N_67	not used in minimal system; no external interface
N13	IO_L22P_T3U_N6_DBC_AD0P_67	not used in minimal system; no external interface
K13	IO_L23N_T3U_N9_67	not used in minimal system; no external interface
L13	IO_L23P_T3U_N8_67	not used in minimal system; no external interface
K15	IO_L24N_T3U_N11_67	not used in minimal system; no external interface
L15	IO_L24P_T3U_N10_67	not used in minimal system; no external interface
T30	MGTHTXN0_128	not used in minimal system; no external interface
T29	MGTHTXP0_128	not used in minimal system; no external interface
R28	MGTREFCLK0N_128	not used in minimal system; no external interface
R27	MGTREFCLK0P_128	not used in minimal system; no external interface
R32	MGTHTXN1_128	not used in minimal system; no external interface
R31	MGTHTXP1_128	not used in minimal system; no external interface
N28	MGTREFCLK1N_128	not used in minimal system; no external interface
N27	MGTREFCLK1P_128	not used in minimal system; no external interface
P30	MGTHTXN2_128	not used in minimal system; no external interface
P29	MGTHTXP2_128	not used in minimal system; no external interface
M30	MGTHTXN3_128	not used in minimal system; no external interface
M29	MGTHTXP3_128	not used in minimal system; no external interface
K30	MGTHTXN0_129	not used in minimal system; no external interface
K29	MGTHTXP0_129	not used in minimal system; no external interface
L28	MGTREFCLK0N_129	not used in minimal system; no external interface
L27	MGTREFCLK0P_129	not used in minimal system; no external interface
J32	MGTHTXN1_129	not used in minimal system; no external interface
J31	MGTHTXP1_129	not used in minimal system; no external interface
J28	MGTREFCLK1N_129	not used in minimal system; no external interface
J27	MGTREFCLK1P_129	not used in minimal system; no external interface
H30	MGTHTXN2_129	not used in minimal system; no external interface
H29	MGTHTXP2_129	not used in minimal system; no external interface
G32	MGTHTXN3_129	not used in minimal system; no external interface
G31	MGTHTXP3_129	not used in minimal system; no external interface
F30	MGTHTXN0_130	not used in minimal system; no external interface
F29	MGTHTXP0_130	not used in minimal system; no external interface
G28	MGTREFCLK0N_130	not used in minimal system; no external interface
G27	MGTREFCLK0P_130	not used in minimal system; no external interface
